count,words,definition
3,16,This language was originally spoken in the eastern Adriatic area but is now a dead language.
3,4,A subfamily of plants.
3,4,A family of plants.
3,2,Ethiopic language.
3,4,A family of mammals.
3,4,A genus of reptiles.
3,19,Physical and political aspects of the island group nation of the Indian Ocean as it has existed thruout time.
3,16,"This entity is for the mellifera species of the Apis genus, a genus of the honeybees."
3,4,A species of insect.
3,4,Nation of S America.
3,10,A reservoir in the New York City water supply system.
3,6,Every unit should have an english.
3,34,The BMW 3 Series is an entry-level luxury car manufactured by the German automaker BMW since May 1975. It is the successor to the 02 Series …
3,6,One of the islands of IndOnesia.
3,7,A language spoken in the Iranian area.
3,6,"Class of jet-propelled, single-aisle passenger aircraft."
3,7,One of the islands that comprise NetherlandsAntilles.
3,9,Amerindian language of the Caribbean region or South America.
3,6,Amerindian languages mostly of the West
3,12,"One of the four large moons of the PlanetJupiter, discovered by Galileo."
3,5,an offshoot of Brahmi script.
3,8,A language of the Indo_IranianLanguageFamily spoken in India.
3,10,A specialization of SerineProtease and a kind of digestive enzyme.
3,74,The Permian is a geologic period and system which spans 46.7 million years from the end of the Caboniferous Period 298.9 million years ago (…
3,8,One of the Major Rivers In North America.
3,86,Common Era or Current Era (CE) is a name for a calendar era widely used around the world today. The era preceding CE is known as before the …
3,6,African language in the Saharan group.
3,8,The chemical compound which is an anti-migraine drug.
3,6,Non-Bantu language of the Benue-Congo sub-group.
3,4,Class of German battlecruisers.
3,7,A kind of limited U.S. work visa.
3,4,River of central California.
3,6,Language spoken in the Fiji Islands.
3,5,A bone of the ankle.
3,8,A PharmaceuticalType which is a subcategory of AntiDepressant.
3,7,African language of the West Atlantic sub-group.
3,6,Amerindian language of the Tupi-Guarani sub-group.
3,7,A language spoken in the Indic area.
3,8,A language of the AfroasiaticLanguageFamily spoken in Ethiopia.
3,6,One of the African 'click' languages.
3,6,Amerindian language of the Pima-Sonorran sub-group.
3,8,South American Amerindian language of the Araucanian sub-group.
3,4,Ugric or (Ugrian) language.
3,8,One of the Berber languages of north Africa.
3,10,A language of the Tibeto_BurmanLanguageFamily spoken in Nepal and India.
3,7,Protein-coding gene in the species Homo sapiens.
3,12,One of the main islands that comprise the island group of NewZealand.
3,6,Constituency in a province of Pakistan.
3,5,A member of the FinnoUgricLanguageFamily.
3,6,A type of WalkingSportsEvent and EnduranceEvent.
3,7,Version of the Microsoft Windows operating system.
