signature,n_typologies,n_concepts,n_band_pairs,concepts
AreaRegion;Shapes,2,7,1,AgonicLine;ContourLine;DepthContour;FlatRegion;GeographicalLine_Intangible;GeographicalPlace_1D;IsogonicLine
Concepts;LearningProcesses,2,7,1,CircusSkill;CricketSkill;HolonomicBrainTheory;Intelligence;LifeSkills;Skill;StudySkill
Diseases;SpaceTypes,2,7,1,BrainDisease;CentralNervousSystemDisease;CentralNervousSystemInfection;DemyelinatingDiseasesOfCNS;HepaticEncephalopathy;UrothelialTumor;ViralInfectionsOfTheCentralNervousSystem
Indexes;WrittenInfo,2,7,1,AreaCode;Full_stop;Password;Password_Computer;PersonalIdentificationNumber;PunctuationMark;TelephoneNumberingPlan
Information;OrganicMatter,2,7,1,AustralopithecusFossil;Fossil;FossilAlgae;HomininFossil;MaotianshanShalesFossil;TransitionalFossil;WhiteSeaFossil
Concepts;Diseases;LivingThings,3,6,2,2009FluPandemic;AlcoholAbuse;EpidemicTyphus_NAmerica;FluPandemic;MethMouth;SpiderBite
AreaRegion;Forms,2,6,1,AquaticEcosystem;ColdSpring;ImprovedSurface_PathArtifact;UnpavedPathArtifact;UnpavedRoadway;WindowPane
Concepts;NaturalPhenomena,2,6,1,Gravimetry;OilSpill;OilSpillInTheGulfOfMexico;Phenomena;PhysicalPhenomena;WinterPhenomena
ConceptualSystems;ContextualAttributes,2,6,1,ElectricPowerTransmissionSystem;ElectricalOutlet;ElectricalPlug;HighVoltageDirectCurrent;PowerLine;TelephonePlug
ConceptualSystems;FoodDrink,2,6,1,ConsumingFood_FoodTopic;FoodAndDrink_Topic;FoodChain;Food_Topic;Foodstuffs_Food_Topic;HungerAndMalnutrition_FoodTopic
Indexes;TertiarySectorServices,2,6,1,FIPSStateCode;FIPSState_CountyCode;Geocode;InternationalPostalCode;Logo;PostalCode
LearningProcesses;SecondarySectorProducts,2,6,1,AtomicLineFilter;Band_passFilter;DistributedElementFilter;RadarSignalProcessing;SignalFilter;WaveguideFilter
TertiarySectorServices;WrittenInfo,2,6,1,EnglishLanguageEducation;FederalTaxReturn;GermanLanguageEducation;RussianLanguageEducation;SpanishLanguageEducation;TaxReturn
AtomsElements;ConceptualSystems;NaturalSubstances;PrimarySectorProducts;Shapes;Systems,6,5,5,BloodDiamond;DiamondSimulant;Diamond_Gem;IndividualDiamond;SyntheticDiamond
ActionTypes;AdjunctualAttributes;CopulativeRelations;MediativeRelations;RelationTypes,5,5,4,AggressiveMimicry;Automimicry;BatesianMimicry;Mimicry;MullerianMimicry
ActionTypes;Associatives;CopulativeRelations;InquiryMethods;RelationTypes,5,5,4,Testimony;Verification;VerificationOfCredit;VerificationOfEmployment;VerificationOfTruth
AttributeTypes;IntrinsicAttributes;NaturalSubstances;Predications,4,5,3,IsotopeOfUranium;ReprocessedUranium;Uranium;Uranium_Enriched;WeaponsGradeUranium
Constituents;Drugs;Forms;SpaceTypes,4,5,3,AceticAcid;Atropine;Cocaine_Powder;Paraformaldehyde;SpermicidalCream
BiologicalChemistry;Eukaryotes;Plants,3,5,2,Arrowroot_Starch;CastorBeanSeed;Fructose;Glucose;Glucoside
Forms;InquiryMethods;SpaceTypes,3,5,2,EcologicalIndicator;EcologicalMetric;EnvironmentalIndicator;EnvironmentalResearch;IntelligenceTest
ActionTypes;Shapes,2,5,1,Barrel_Container;FoodStorageJar;GlassJar;Jar;PlasticJar
FoodDrink;Shapes,2,5,1,ChewingGum;Gum;Mayonnaise;SaladDressing;WhippedCream
InquiryMethods;StructuredInfo,2,5,1,AmericanCollegeTestingProgramAssessment;CollegeEntranceTest;ComputerModel;ScholasticAptitudeTest;SimulationSoftware
AVInfo;AttributeTypes;ContextualAttributes;Denotatives;EventTypes;RepresentationTypes;SituationTypes;TimeTypes;VisualInfo,9,4,10,Comedy;Parody;RoastComedy;SituationalComedy
BiologicalChemistry;Chemistry;EventTypes;Shapes;TimeTypes,5,4,4,PlasticRubberFoam;Polystyrene;RubberFoam;SiliconeFoam
Agents;Concepts;ConceptualSystems;Persons,4,4,3,Imposter;Macho;MasculinePerson;PositionsOfAuthority
Animals;Eukaryotes;LivingThings;Shapes,4,4,3,AnimalBodyShapeType;Cuboid;QuadrupedBodyShaped;Radiata
Artifacts;Diseases;Products;SecondarySectorProducts,4,4,3,DisabilityRobot;ParaTableTennis;WheelchairBasketball;WheelchairBasketballCompetition
BiologicalChemistry;Eukaryotes;FoodDrink;Plants,4,4,3,Flour;RiceFlour;Sugar_Table;WheatFlour
AttributeTypes;ContextualAttributes;Plants,3,4,2,AngiospermReproduction;DioeciousPlantSpecies;HermaphroditicPlantSpecies;MonoeciousPlantSpecies
Diseases;LearningProcesses;LivingThings,3,4,2,Dyslexia;DyslexiaResearch;LearningDisability;TheoryOfDyslexia
Drugs;ProtistsFungus;Systems,3,4,2,AmanitaRegalis;FlyAgaricMushroom;HallucinogenicMushroom;PsilocybinMushroom
AtomsElements;NaturalPhenomena,2,4,1,Electron;ElectronBeam;ElectronState;Photon
EmergentKnowledge;SecondarySectorProducts,2,4,1,AtomicModel;KnowledgeRepresentationSoftware;MineralModel;SymbolicsDocumentExaminer
EmergentKnowledge;WrittenInfo,2,4,1,KnowledgeRepresentationLanguage;OWL_WebOntologyLanguage;RDFDataAccess;RDF_ResourceDescriptionFramework
Society;StructuredInfo,2,4,1,BillOfRights_US;CustomerCommunicationsManagement;LegalCode_ModernWestern;UnitedStatesCode
ActionTypes;AttributeTypes;ContextualAttributes;CopulativeRelations;Eukaryotes;Plants;RelationTypes,7,3,8,Pollination;PollinationManagement;PollinatorDecline
MediativeRelations;NaturalSubstances;Predications;RelationTypes;SituationTypes,5,3,4,Guyot;OuterSpace;Seamount
AVInfo;Facilities;Information;VisualInfo,4,3,3,Gargoyle_Sculpture;Gargoyle_Spout;StainedGlassWindow
AttributeTypes;FoodDrink;IntrinsicAttributes;Predications,4,3,3,CornishHen;Cow;Rooster
BiologicalChemistry;BiologicalProcesses;NaturalPhenomena;OrganicMatter,4,3,3,CarbonSink;ElectronTransportChain;Panting
BiologicalChemistry;Chemistry;FoodDrink;NaturalMatter,4,3,3,Aspartame;Chitosan;MonosodiumGlutamate
Concepts;ConceptualSystems;LocationPlace;Places,4,3,3,AxialNorthPoleOfEarth;AxialPoleOfPlanet;AxialSouthPoleOfEarth
AVInfo;SituationTypes;VisualInfo,3,3,2,ExperimentalMovie;Gesture;HandGesture
Diseases;ProtistsFungus;Systems,3,3,2,DownyMildew;Mildew;PowderyMildew
LearningProcesses;SecondarySectorProducts;StructuredInfo,3,3,2,LearningManagementSystem;PitchModificationSoftware;VirtualLearningEnvironment
LivingThings;MediativeRelations;SituationTypes,3,3,2,Abnormal_Organism_Whole;GeneticVariation;Mutant
AreaRegion;PrimarySectorProducts,2,3,1,Dune;SandArea;VolcanicAsh
AudioInfo;Indexes,2,3,1,AlarmSignal;AlarmSound;SirenSound
InquiryMethods;NaturalPhenomena,2,3,1,CookingWeightsAndMeasure;InfraredImaging;Radiometry
Shapes;Systems,2,3,1,AutomobileWheel;FinalStellationOfTheIcosahedron;Stellation
ActionTypes;Associatives;CopulativeRelations;EventTypes;InquiryMethods;RelationTypes;RepresentationTypes;TimeTypes,8,2,8,AuthenticationEvent;EmailAuthentication
CopulativeRelations;Eukaryotes;FoodDrink;Plants;Predications;RelationTypes,6,2,7,Rice;RiceVariety
AVInfo;AttributeTypes;ContextualAttributes;SituationTypes;VisualInfo,5,2,6,Backlit;Silhouetted
Agents;ContextualAttributes;MediativeRelations;OrganicMatter;Persons;SituationTypes,6,2,5,Cruelty;Machismo_Pride
AreaRegion;Concepts;ConceptualSystems;LocationPlace;Places,5,2,5,NorthCelestialPole;SouthCelestialPole
ActionTypes;CopulativeRelations;FoodDrink;Predications;RelationTypes,5,2,4,FermentedFood;Naem
Concepts;Forms;LearningProcesses;SpaceTypes,4,2,4,KnowHow_AgentCapacityQuantity;Scoutcraft
Associatives;EmergentKnowledge;RepresentationTypes;SecondarySectorProducts,4,2,3,Thesaurus;ThesaurusProgram
ConceptualSystems;Denotatives;RepresentationTypes,3,2,2,ClayAnimation;OpticalIllusion
ConceptualSystems;EconomicSystems;LearningProcesses,3,2,2,PreparingFinancialRecords;Write_off
InquiryMethods;LearningProcesses;NaturalPhenomena,3,2,2,Superstring;TheoryOfGravitation
Associatives;Indexes,2,2,1,Autograph;Signature
Facilities;Shapes,2,2,1,Cornerstone;HandRail
NaturalPhenomena;Times,2,2,1,Sunrise;Sunset
Animals;ContextualAttributes;Eukaryotes;LivingThings;MediativeRelations;OrganicMatter;RelationTypes;SituationTypes,8,1,10,Ejaculation
ActionTypes;Animals;CopulativeRelations;Eukaryotes;IntrinsicAttributes;RelationTypes,6,1,9,Dominatrix
Animals;ContextualAttributes;Eukaryotes;LivingThings;MediativeRelations;RelationTypes;SituationTypes,7,1,9,Hungry
ActionTypes;AttributeTypes;Concepts;ConceptualSystems;CopulativeRelations;IntrinsicAttributes;RelationTypes;Systems,8,1,7,Instinct
AreaRegion;AttributeTypes;Concepts;ConceptualSystems;ContextualAttributes;Places,6,1,6,Equator_Celestial
ActionTypes;Associatives;CopulativeRelations;Indexes;InquiryMethods;RelationTypes,6,1,5,Evidence
Chemistry;Constituents;Drugs;FoodDrink;Forms;NaturalMatter;SpaceTypes,7,1,5,SodiumBicarbonate
ConceptualSystems;Constituents;Drugs;FoodDrink;Forms;SpaceTypes,6,1,4,Absinthe
CopulativeRelations;Eukaryotes;Plants;RelationTypes,4,1,4,Foliage
Forms;InquiryMethods;LearningProcesses;SpaceTypes,4,1,4,SheafTheory
ActionTypes;Associatives;CopulativeRelations;RelationTypes,4,1,3,Gloss
ActionTypes;EventTypes;Shapes;TimeTypes,4,1,3,DustStormAsObject
Artifacts;Concepts;Diseases;LivingThings,4,1,3,ShipsLostWithAllHands
AtomsElements;BiologicalProcesses;CopulativeRelations;RelationTypes,4,1,3,CalciumIon
AttributeTypes;Concepts;ConceptualSystems;ContextualAttributes,4,1,3,Fratire
Concepts;Forms;InquiryMethods;SpaceTypes,4,1,3,CommonSense
ConceptualSystems;Denotatives;Indexes;RepresentationTypes,4,1,3,Crucifix_ChristianSymbol
Indexes;TertiarySectorServices;WrittenInfo,3,1,3,ZipCode
Agents;Concepts;Organizations,3,1,2,DummyCompany
AreaRegion;CopulativeRelations;Forms,3,1,2,Rubble
AreaRegion;NaturalSubstances;Shapes,3,1,2,Cone_Topographical
Associatives;Indexes;WrittenInfo,3,1,2,Index_List_Information
BiologicalChemistry;Shapes;Systems,3,1,2,BotulinumToxin_Aerosolized
Chemistry;FoodDrink;NaturalMatter,3,1,2,Vinegar
Concepts;Forms;SecondarySectorProducts,3,1,2,FrillyClothingStyle
DirectRelations;Information;StructuredInfo,3,1,2,EqualsSign_TheSymbol
EmergentKnowledge;InquiryMethods;SecondarySectorProducts;StructuredInfo,4,1,2,ConsistencyModel
Society;StructuredInfo;TertiarySectorServices;WrittenInfo,4,1,2,Brand
Animals;ContextualAttributes,2,1,1,CatTypeByBreed
AreaRegion;CopulativeRelations,2,1,1,Snowfield
Artifacts;Diseases,2,1,1,ParalympicVolleyball
BiologicalChemistry;FoodDrink,2,1,1,Glucosamine
Concepts;Forms,2,1,1,AlternativeEnergy
Concepts;LivingThings,2,1,1,PrehistoricLife
EconomicSystems;EmergentKnowledge,2,1,1,BusinessModel
Facilities;Information,2,1,1,Throne
IntrinsicAttributes;Systems,2,1,1,Component
LearningProcesses;NaturalPhenomena,2,1,1,DynamicsProcessing
LearningProcesses;StructuredInfo,2,1,1,SavingAFile
NaturalSubstances;Shapes,2,1,1,IceCube
ProtistsFungus;Systems,2,1,1,Fungus_Generic
