prop_id,prefLabel,description,scopeNote
kko:relatesToBiologicalProcesses,relates to biological processes,Annotation linking kko.BioProcesses to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToChemistry,relates to chemistry,Annotation linking kko.Chemistry to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToConcepts,relates to concepts,Annotation linking kko.Concepts to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToContextualAttributes,relates to contextual attributes,Annotation linking kko.ContextualAttributes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToCopulativeRelations,relates to copulative relations,Annotation linking kko.CopulativeRelations to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToDirectRelations,relates to direct relations,Annotation linking kko.DirectRelations to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToDiseases,relates to diseases,Annotation linking kko.Diseases to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToDrugs,relates to drugs,Annotation linking kko.Drugs to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToEconomicSystems,relates to economic systems,Annotation linking kko.EconomicSystems to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToEventTypes,relates to event types,Annotation linking kko.EventTypes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToFacilities,relates to facilities,Annotation linking kko.Facilities to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToFoodDrink,relates to food or drink,Annotation linking kko.FoodDrink to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToForms,relates to forms,Annotation linking kko.Forms to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToGeopolitical,relates to geopolitical,Annotation linking kko.Geopolitical to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToInformation,relates to information,Annotation linking kko.Information to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToInquiryMethods,relates to inquiry methods,Annotation linking kko.InquiryMethods to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToIntrinsicAttributes,relates to intrinsic attributes,Annotation linking kko.IntrinsicAttributes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToKnowledgeDomains,relates to knowledge domains,Annotation linking kko.KnowledgeDomains to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToLearningProcesses,relates to learning processes,Annotation linking kko.LearningProcesses to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToLivingThings,relates to living things,Annotation linking kko.LivingThings to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToLocationPlace,relates to location or place,Annotation linking kko.LocationPlace to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToManifestations,relates to manifestations,Annotation linking kko.Manifestations to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToMethodeutic,relates to methodeutic,Annotation linking kko.Methodeutic to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToNaturalMatter,relates to natural matter,Annotation linking kko.NaturalMatter to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToNaturalPhenomena,relates to natural phenomena,Annotation linking kko.NaturalPhenomena to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToNaturalSubstances,relates to natural substances,Annotation linking kko.NaturalSubstances to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToOrganicMatter,relates to organic matter,Annotation linking kko.OrganicMatter to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToOrganizations,relates to organizations,Annotation linking kko.Organizations to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToPersons,relates to persons,Annotation linking kko.Persons to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToPlaces,relates to places,Annotation linking kko.Places to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToPlants,relates to plants,Annotation linking kko.Plants to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToPrimarySectorProducts,relates to products from primary economic sector,Annotation linking kko.PrimarySectorProducts to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToProducts,relates to products,Annotation linking kko.Products to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToProkaryotes,relates to prokaryotes,Annotation linking kko.Prokaryotes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToProtistsFungus,relates to protists or fungus,Annotation linking kko.ProtistsFungus to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToSecondarySectorProducts,relates to products from secondary economic sector,Annotation linking kko.SecondarySectorProducts to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToShapes,relates to shapes,Annotation linking kko.Shapes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToSituationTypes,relates to situation types,Annotation linking kko.SituationTypes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToSocialSystems,relates to social systems,Annotation linking kko.SocialSystems to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToSociety,relates to society,Annotation linking kko.Society to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToStructuredInfo,relates to structured info,Annotation linking kko.StructuredInfo to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToSymbolic,relates to symbolic,Annotation linking kko.Symbolic to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToSystems,relates to systems,Annotation linking kko.Systems to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToTertiarySectorServices,relates to services from tertiary economic sector,Annotation linking kko.TertiarySectorServices to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToTimes,relates to times,Annotation linking kko.Times to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToTopicsCategories,relates to topics or categories,Annotation linking kko.TopicsCategories to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToVisualInfo,relates to visual info,Annotation linking kko.VisualInfo to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToWrittenInfo,relates to written info,Annotation linking kko.WrittenInfo to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
