kbpedia-id,pref-label,alt-label,definition
14-Dioxane,,,"1,4-Dioxane, often simply called dioxane because the 1,2 and 1,3 isomers of dioxane are rare, is a heterocyclic organic compound. It is a colorless liquid with a faint sweet odor similar to that of diethyl ether. It is classified as an ether. Dioxane is used mainly as a stabilizer for the solvent trichloroethane. It is an occasionally used solvent for a variety of practical applications as well as in the laboratory."
17-Hydroxypregnenolone,,,17α-Hydroxypregnenolone is a pregnane (C21) steroid that is obtained by hydroxylation of pregnenolone at the C17α position. This step is performed by the mitochondrial cytochrome P450 enzyme 17α-hydroxylase (CYP17A1) that is present in the adrenal and gonads. Peak levels are reached in humans at the end of puberty and then decline. High levels are also achieved during pregnancy.
17-Ketosteroid,,,A 17-ketosteroid is a steroid that has a ketone (C=O) functional group at the 17 position (in the upper right corner of most diagrams.) These compound are products of metabolization of testosterone in most tissues such as liver. Examples of 17-ketosteroids include: \n*  Androstenedione \n*  Androsterone \n*  Estrone \n*  Dehydroepiandrosterone.
1999UEFAChampionsLeagueFinal,,,"The 1999 UEFA Champions League Final was a football match between Manchester United and Bayern Munich on Wednesday 26 May 1999, played at Camp Nou in Barcelona, Spain, to determine the winner of the 1998–99 UEFA Champions League. It is remembered for injury time goals from Manchester United's Teddy Sheringham and Ole Gunnar Solskjær, which cancelled out Mario Basler's early goal to give Manchester United a 2–1 win."
1p36DeletionSyndrome,,,"1p36 deletion syndrome (also known as monosomy 1p36) is a congenital genetic disorder characterized by moderate to severe intellectual disability, delayed growth, hypotonia, seizures, limited speech ability, malformations, hearing and vision impairment, and distinct facial features. The symptoms may vary, depending on the exact location of the chromosomal deletion."
2-Chloro-1112-tetrafluoroethane,,,"1-Chloro-1,2,2,2-tetrafluoroethane, C2HClF4, also called R-124, is a hydrochlorofluorocarbon used as a refrigerant. The chemical is also marketed for use as a gaseous fire suppressant. One trade name is FE-241. Protected areas are normally unoccupied requiring an automatic fire suppression system. Other clean agents are approved for occupied areas but are more expensive (see Dupont's FM-200heptafluoropropane."
2-MethoxybenzoicAcid,,,"o-Anisic acid, ortho-methoxybenzoic acid, or 2-methoxybenzoic acid, is a crystalline solid. It is one of the isomers of anisic acid."
2009FluPandemic,,,"The 2009 flu pandemic or swine flu was an influenza pandemic, and the second of the two pandemics involving H1N1 influenza virus (the first of them being the 1918 flu pandemic), albeit in a new version. First described in April 2009, the virus appeared to be a new strain of H1N1 which resulted when a previous triple reassortment of bird, swine and human flu viruses further combined with a Eurasian pig flu virus, leading to the term \""swine flu\""."
2011CricketWorldCup,,,"The 2011 ICC Cricket World Cup was the tenth Cricket World Cup. It was played in India, Sri Lanka, and (for the first time) Bangladesh. India won the tournament, defeating Sri Lanka by 6 wickets in the final in Mumbai, thus becoming the first country to win the Cricket World Cup final on home soil. India's Yuvraj Singh was declared the man of the tournament. This was the first time in World Cup history that two Asian teams had appeared in the final. It was also the first time since the 1992 World Cup that the final match did not feature Australia."
2011IIHFWorldChampionship,,,"The 2011 IIHF World Championship was the 75th IIHF World Championship, an annual international men's ice hockey tournament. It took place between the 29 April and the 15 May 2011 in Slovakia. The games were played in the Orange Arena in Bratislava, and the Steel Aréna in Košice. The Czech team was the defending champion. This was the first time the independent Slovakia hosted the World Championships. However, this was the third time that Bratislava co-hosted the World Championships. The first two times were 1959 and 1992, each time with Prague, and while part of Czechoslovakia."
2011RugbyWorldCup,,,7th Rugby World Cup.
2011SoutheastAsianGames,,,"The 2011 Southeast Asian Games, officially known as the 26th Southeast Asian Games (Indonesian: Pesta Olahraga Asia Tenggara 2011) was a multi-sport event held in Jakarta and Palembang, Indonesia from 11 to 22 November 2011 with 545 events in 44 sports and disciplines featured in the games. It was Indonesia's fourth time to host the Southeast Asian Games, the last time it hosted the Games was in 1997. Parallel to the Southeast Asian Games, the 2011 ASEAN Para Games for physically disabled athletes, begins 2 weeks after the 2011 Southeast Asian Games ends, with the competition held in Surakarta (Solo), Central Java, Indonesia."
2011WorldAquaticsChampionships,,,"The 14th FINA World Championships (Chinese: 2011年世界游泳锦标赛) were held on July 16–31, 2011 in Shanghai, China at the Shanghai Oriental Sports Center. The 2011 World Championships featured five aquatics disciplines: swimming, water polo, diving, open water, and synchronized swimming. At this championships, synchronized swimmer Natalia Ishchenko, of Russia, was the most decorated competitor winning all six gold medals of her events, at solo, duet and team routines. These championships served as qualifying stages for the 2012 Summer Olympics."
2011WorldChampionshipsInAthletics,,,"The 13th IAAF World Championships in Athletics was an international athletics competition that was held in Daegu, South Korea. It started on 27 August 2011 and finished on 4 September 2011. The United States topped the medal standings in the competition with 25 (12 gold, 8 silver, and 6 bronze). During the competition, 41 national records, 4 area records, 3 championship records, and 1 world record was set."
2012IAAFWorldIndoorChampionships,,,"The 2012 IAAF World Indoor Championships in Athletics was the 14th edition of the global-level indoor track and field competition and was held between March 9–11, 2012 at the Ataköy Athletics Arena in Istanbul, Turkey. It was the first of four IAAF World Athletics Series events in 2012, which includes the World Race Walking Cup, the World Junior Championships and the World Half Marathon Championships."
2012WorldFigureSkatingChampionships,,,"The 2012 World Figure Skating Championships was an international figure skating competition in the 2011–12 season. The event determined the World Champions in men's singles, ladies' singles, pair skating, and ice dancing. It was held between March 26 and April 1 in Nice, France."
2012WorldJuniorIceHockeyChampionships,,,"The 2012 IIHF U20 World Championship was the 36th World Junior Ice Hockey Championships (WJHC). It was hosted in Calgary and Edmonton, Alberta, Canada. It began on December 26, 2011, and ended with the gold medal game played in Calgary on January 5, 2012. Sweden defeated defending-champion Russia 1–0 in overtime to win their first title in 31 years. Russian forward Evgeny Kuznetsov was named MVP of the tournament. Denmark was relegated to Division I and Germany was promoted to the 2013 World Junior Ice Hockey Championships."
22-Bipyridine,,,"2,2′-Bipyridine (bipy or bpy, pronounced /ˈbɪpiː/) is an organic compound with the formula (C10H8N2). This colorless solid is an important isomer of the bipyridine family. It is a bidentate chelating ligand, forming complexes with many transition metals. Ruthenium complex and platinum complexes of bipy exhibit intense luminescence, which may have practical applications."
22-Dimethoxypropane,,,"2,2-Dimethoxypropane or acetone dimethyl acetal or DMP is an organic compound and an alkylating reagent. The chemical formula is C5H12O2 and the molecular formula is (CH3)2C(OCH3)2. It is the acetalisation product of acetone and methanol. Dimethoxypropane is an intermediate for the synthesis of 2-methoxypropene. In histology, DMP is now considered to be more efficient than ethanol for the dehydration of animal tissue. DMP is commonly used as a water scavenger in water-sensitive reactions -- any available water will react with DMP to form acetone and methanol."
24-Dimethyl-6-tert-butylphenol,,,"2,4-Dimethyl-6-tert-butylphenol is an alkylated phenol used industrially as an antioxidant, e.g. to prevent gumming in fuels, and as an ultraviolet stabilizer. It is used in jet fuels, gasolines, and avgas. It is a clear liquid with melting point 21-23 °C and boiling point 248-249 °C. It is also used in printing industry. It is stable in acidic, neutral, and alkaline solutions, and is considered to not be readily biodegradable. It does not absorb UV light, therefore direct photodegradation is not suspected. It is a suspected respiratory toxicant and is suspected to be neurotoxic."
26-Di-tert-butylphenol,,,"2,6-Di-tert-butylphenol is an organic compound with the structural formula 2,6-((CH3)3C)2C6H3OH. This colorless solid alkylated phenol and its derivatives are used industrially as UV stabilizers and antioxidants for hydrocarbon-based products ranging from petrochemicals to plastics. Illustrative of its usefulness, it prevents gumming in aviation fuels."
26-Lutidine,,,"2,6-Lutidine is a natural heterocyclic aromatic organic compound. It has been isolated from the basic fraction of coal tar and from bone oil. It is a dimethyl substituted derivative of pyridine. It has been detected in waste water from oil shale processing sites and former creosoting facilities. 2,6-Lutidine has been evaluated for use as a food additive owing to its nutty aroma when present in solution at very low concentrations, however the neat solvent has a pungent, noxious odor."
3-Amino-5-nitrosalicylicAcid,,,"3-Amino-5-nitrosalicylic acid is an aromatic compound that absorbs light strongly at 540 nm. It is produced when 3,5-dinitrosalicylic acid reacts with a reducing sugar. In this reaction, the 3-nitro group (NOO−) is reduced to an amino group (NH2)."
3-NitrobenzoicAcid,,,"3-Nitrobenzoic acid is an organic compound with the formula C6H4(NO2)CO2H. It is a precursor to 3-aminobenzoic acid, which is used to prepare some dyes."
33-DiaminobenzidineTetrahydrochloride,,,"3,3'-Diaminobenzidine (DAB) is an organic compound that is both chemically and thermodynamically stable. This derivative of benzidine is a precursor to polybenzimidazole fiber. This fiber can be used to construct materials that are resistant to chemicals and high temperature. Fabrics made from these fibers do not melt when exposed to flame and do not burn. As its water-soluble tetrahydrochloride, DAB has been used in immunohistochemical staining of nucleic acids and proteins."
35-DinitrobenzoicAcid,,,"3,5-Dinitrobenzoic acid is an organic chemical that is an important corrosion inhibitor and is also used in photography. This aromatic compound is used by chemists to identify alcohol components in esters and in the fluorometric analysis of creatinine."
4-AminobenzoicAcid,,,"4-Aminobenzoic acid (also known as para-aminobenzoic acid or PABA because the number 4 carbon in the benzene ring is also known as the para position) is an organic compound with the formula H2NC6H4CO2H. PABA, a white-grey crystalline substance, is only slightly soluble in water. It consists of a benzene ring substituted with an amino group and a carboxyl group."
4-Aminopyridine,,,"4-Aminopyridine (4-AP, INN fampridine, USAN dalfampridine) is an organic compound with the chemical formula C5H4N–NH2. The molecule is one of the three isomeric amines of pyridine. It is used as a research tool, in characterizing subtypes of the potassium channel. It has also been used as a drug, to manage some of the symptoms of multiple sclerosis, and is indicated for symptomatic improvement of walking in adults with several variations of the disease. It was undergoing Phase III clinical trials as of 2008, and the U.S. Food and Drug Administration (FDA) approved the compound on January 22, 2010. Fampridine is also marketed as Ampyra (pronounced \""am-PEER-ah,\"" according to the maker's website) in the United States by Acorda Therapeutics and as Fampyra in Europe. In Canada, the medication h."
4-Chlorodehydromethyltestosterone,,,"Chlorodehydromethyltestosterone (CDMT) (brand name Oral Turinabol) is an androgenic-anabolic steroid. It is the 4-chloro-substituted derivative of metandienone (dehydromethyltestosterone) (Dianabol). CDMT was the first original product of Jenapharm, an East German pharmaceutical company. The patent registration took place in 1961. The idea of combining the structures of 4-chlorotestosterone (clostebol) and metandienone originated from the chemist Albert Stachowiak. At the time this represented a unique dissociation of anabolic and androgenic effects after oral administration. The product had been introduced for clinical use in 1965."
4-Dimethylaminopyridine,,,"4-Dimethylaminopyridine (DMAP) is a derivative of pyridine with the chemical formula (CH3)2NC5H4N. This colourless solid is of interest because it is more basic than pyridine, owing to the resonance stabilisation from the NMe2 substituent."
4-HydroxybenzoicAcid,,,"4-Hydroxybenzoic acid, also known as p-hydroxybenzoic acid (PHBA), is a monohydroxybenzoic acid, a phenolic derivative of benzoic acid. It is a white crystalline solid that is slightly soluble in water and chloroform but more soluble in polar organic solvents such as alcohols and acetone. 4-Hydroxybenzoic acid is primarily known as the basis for the preparation of its esters, known as parabens, which are used as preservatives in cosmetics and some ophthalmic solutions. It is isomeric with 2-hydroxybenzoic acid, known as salicylic acid, a precursor to aspirin."
4-Hydroxytestosterone,,,"4-Hydroxytestosterone (4-OHT), also known as 4,17β-dihydroxy-4-androstene-3-one, is an anabolic steroid. It was first patented by G.D. Searle & Company in 1955 and is testosterone with a hydroxy group at the four position. 4-OHT has moderate anabolic, mild androgenic, and anti-aromatase properties and is similar to the steroid clostebol."
4-MethoxybenzoicAcid,,,"p-Anisic acid, also known as 4-methoxybenzoic acid or draconic acid, is one of the isomers of anisic acid. The term \""anisic acid\"" often refers to this form specifically. p-Anisic acid is found naturally in anise. It is a white crystalline solid which is insoluble in water, highly soluble in alcohols and soluble in ether, and ethyl acetate. p-Anisic acid has antiseptic properties. It is also used as an intermediate in the preparation of more complex organic compounds. It is generally obtained by the oxidation of anethole or p-methoxyacetophenone."
4-MethylbenzoicAcid,,,"p-Toluic acid (4-methylbenzoic acid) is a substituted benzoic acid with the formula CH3C6H4COOH. It is an intermediate in some industrial processes for the oxidation of p-xylene to terephthalic acid which is used in the manufacture of polyethylene terephthalate. It is a white crystalline solid that is practically insoluble in water, but soluble in acetone."
4-tert-Butylcatechol,,,"4-tert-Butylcatechol (TBC) is an  organic chemical compound which is a derivative of catechol. It is added as a stabilizer and an inhibitor of polymerization to butadiene, styrene, vinyl acetate and other reactive monomer streams. It is 25 times better than hydroquinone at 60 °C for polymerization inhibitory effect. Also used as a stabilizer in the manufacture of polyurethane foam. It also can be used as an antioxidant for synthetic rubber, polymers and oil derivatives. It can be used as purification agent for aminoformate catalysts. TBC is available in a form of a solid crystal and 85% solution in methanol or water."
6-Hydroxydopamine,,,"Oxidopamine, also known as 6-hydroxydopamine (6-OHDA) or 2,4,5-trihydroxyphenethylamine, is a neurotoxic synthetic organic compound used by researchers to selectively destroy dopaminergic and noradrenergic neurons in the brain. 6-OHDA is thought to enter the neurons via the dopamine and noradrenaline (norepinephrine) reuptake transporters. Oxidopamine is often used in conjunction with a selective noradrenaline reuptake inhibitor (such as desipramine) to selectively destroy dopaminergic neurons."
AaptosKanuux,,,Aaptos kanuux is a sea sponge belonging to the phylum Porifera.It is a newly discovered species of sea sponge and it is named after the [ Unangan language ] Aleutian word for heart.
Abacavir,,,"Abacavir (ABC) is an antiretroviral medication used to prevent and treat HIV/AIDS. Viral strains that are resistant to zidovudine (AZT) or lamivudine (3TC) are generally, but not always, sensitive to abacavir. It is well tolerated: the main side effect is hypersensitivity, which can be severe, and in rare cases, fatal. Genetic testing can indicate whether an individual is likely to be hypersensitive; over 90% of people can safely take abacavir. It is of the nucleoside analog reverse transcriptase inhibitor (NRTI) type and is in the class of carbocyclic nucleosides."
Abandoned-ConstructionArtifact,,,An abandoned construction artifact or facility.
AbandonwareProgram,,,"Abandonware is a product, typically software, ignored by its owner and manufacturer, and for which no product support is available. Although such software is usually still under copyright, the owner may not be tracking or enforcing copyright violations. In intellectual rights context, abandonware is a software (or hardware) special case of the general concept of orphan works."
AbaremaOxyphyllidia,,,"Abarema oxyphyllidia is a species of legume in the Fabaceae family. It is endemic to the Cordillera Guajiquiro in southwest Honduras. It is found in mixed montane forest, and is known from only one specimen collected in 1964."
Abdopus,,,Abdopus is a genus of octopuses in the family Octopodidae.
AbelsonMurineLeukemiaVirus,,,"The Abelson murine leukemia virus (Ab-MLV or A-MuLV) is a retrovirus (Class VI) used to induce transformation of murine lymphoid cells. As a retrovirus, it has a single-stranded, positive sense RNA genome which replicates via a DNA intermediate mediated by a reverse transcriptase. The Abelson murine leukemia virus is named for the American pediatrician Herbert T. Abelson, who first described and isolated it."
Abiu,,,"Pouteria caimito, the abiu (Portuguese pronunciation: [ɐˈbiw]), is a tropical fruit tree originated in the Amazonian region of South America. It will grow an average of 33 feet (10 m) high, and can grow as high as 116 feet (35 m) under good conditions. Its fruits shape varies from round to oval with a point. When ripe, it has smooth bright yellow skin and will have one to four ovate seeds. The inside of the fruit is translucent and white. It has a creamy and jelly-like texture and its taste is similar to the sapodilla — a sweet caramel custard. The abiu tree is part of the Sapotaceae family and is very similar in appearance to the canistel."
AbkhazLanguage,Abkhaz language,Abkhaz,
Abnormal-Organism-Whole,,,"A category for listing abnormal, whole organisms."
AboBat,,,"The Abo bat (Glauconycteris poensis) is a species of vesper bat in the family Vespertilionidae.It can be found in the following countries: Benin, Cameroon, Democratic Republic of the Congo, Ivory Coast, Equatorial Guinea, Ghana, Guinea, Kenya, possibly Liberia, Nigeria, Senegal, Sierra Leone, and Togo.It is found in these habitats: subtropical or tropical dry forests and subtropical or tropical moist lowland forests."
Abolitionist,abolitionist,Anti-slavery movement||Abolition Of Slavery||Emancipationist||Abolitionism (slavery)||Abolition of Slavery||Anti-abolitionism||Abolitionist (slavery)||Abolitionistic||Movement to abolish slavery||Critic of the slave trade||Abolitionism.||Abolitionism in France||Opponent of slavery||Abolishing slavery||Antislavery||Slave emancipation||Anti-slavery||Opposition to slavery||Slavery abolition||Abolition of the slave trade||Abolutionism||Abolition of slavery||Abolitionist||Abolitionists||Abolitionist Movement||Abolitionst||Antislavery movement||White Abolitionists||White abolitionists||Emancipation Of Slaves||Emancipation of slaves||Emancipation of Slaves||Anti slavery movement||Abolition (slavery)||Abolitionist movement,"Abolitionism is a movement to end slavery, whether formal or informal. In Western Europe and the Americas, abolitionism is a historical movement to end the African and Indian slave trade and set slaves free. King Charles I of Spain, usually known as Emperor Charles V, following the example of the Swedish monarch, passed a law which would have abolished colonial slavery in 1542, although this law was not passed in the largest colonial states, and so was not enforced. In the late 17th century, the Roman Catholic Church, taking up a plea by Lourenco da Silva de Mendouca, officially condemned the slave trade, which was affirmed vehemently by Pope Gregory XVI in 1839. An abolitionist movement only started in the late 18th century."
Abortifacient,,,"An abortifacient (""that which will cause a miscarriage"" from Latin: abortus ""miscarriage"" and faciens ""making"") is a substance that induces abortion. Abortifacients for animals that have mated undesirably are known as mismating shots.Common abortifacients used in performing medical abortions include mifepristone, which is typically used in conjunction with misoprostol in a two-step approach."
Abralia,,,Abralia is a genus of squid comprising around 20 species.
Abrasive,,,"The attribute of being so rough in texture that it wears material of something with which there is a TranslationAlongASurface. This ‘class’ product category is drawn from UNSPSC, readily converted into other widely used systems. This product ‘class’ is an aggregate of abrasive or abrasive media. This product category corresponds to the UNSPSC code: 31191500."
AbsolutVodka,,,"Absolut Vodka is a brand of vodka, produced near Åhus, in southern Sweden. Absolut is owned by French group Pernod Ricard; they bought Absolut for €5.63 billion in 2008 from the Swedish state. Absolut is the third largest brand of alcoholic spirits in the world after Bacardi and Smirnoff, and is sold in 126 countries."
AbstractProgrammingLanguage,abstract programming language,,
AbutilonEremitopetalum,,,"Abutilon eremitopetalum, commonly known as the Hidden-petaled Abutilon or Hiddenpetal Indian Mallow, is a species of flowering shrub in the mallow family, Malvaceae. It is endemic to dry forests and low shrublands on the windward side of the island of Lānaʻi in Hawaii. It is classified by the IUCN Red List as critically endangered by habitat destruction. The species was first discovered in 1987."
AbutilonSandwicense,,,"Abutilon sandwicense, commonly known as the greenflower Indian mallow, is a species of flowering plant in the mallow family, Malvaceae, that is endemic to the island of Oʻahu, Hawaii, in the United States. It inhabits dry forests on the slopes of the Waiʻanae Range at elevations of 400–600 m (1,300–2,000 ft). Associated plants include lama (Diospyros sandwicensis), ēlama (D. hillebrandii), māmaki (Pipturus albidus), kalia (Elaeocarpus bifidus), āulu (Sapindus oahuensis), olopua (Nestegis sandwicensis), and alaheʻe (Psydrax odorata). Greenflower Indian mallow is a shrub, reaching a height of 1.5–3 m (4.9–9.8 ft). It is threatened by habitat loss."
AbyssinianWoodpecker,,,"The Abyssinian woodpecker (Dendropicos abyssinicus) is a species of bird in the woodpecker family, Picidae. It is native to Africa, where it occurs in Eritrea and Ethiopia."
ACAcecaCar,,,"The Aceca (pronounced ""A-See-Ka"") is a closed coupé from the British AC Cars company, produced from 1954 until 1963. The car originally had an AC engine but the similar Bristol-engined Aceca-Bristol was also available alongside the original from 1956 to 1963 when production of the engine ceased."
AcademicBookReport,academic book report,book report,
AcademicComposition,paper (academic),paper,
AcademicCycles-TimeTopic,time topics of 'academic cycles',academic cycles,This conceptual systems category is a focal point for aggregating time topics of 'academic cycles'.
AcademicEssay,academic essay,essay,
AcademicTesting,academic testing,testing,
Acalyptratae,,,"The Acalyptratae are a subsection of the Schizophora, commonly referred to as the acalyptrate muscoids (or simply acalyptrates). It is a very large assemblage, exhibiting very diverse habits, with one notable and perhaps surprising exception; no known acalyptrates are obligate blood-feeders (hematophagous), though this life history is common throughout the remaining Diptera. The name Acalypterae was first used by Justin Pierre Marie Macquart in 1835 for a section of his tribe Muscides for all acalyptrates (except conopids) plus scathophagids and phorids."
AcanthobrahmaeaEuropaea,,,"Brahmaea (Acanthobrahmaea) europaea, commonly known as the European owl moth, is a lepidopteran from the family Brahmaeidae in the subgenus Acanthobrahmaea."
Acanthocalycium,,,"Acanthocalycium is a genus of cactus consisting of several species from Argentina. The taxon name comes from Greek akantha (meaning prickly) and kalyx (meaning buds), which refers to the spines on the floral tubes. These plants are globose to elongate, with numerous ribs on the spiny stems. Flowers range from white to pink to red and open during the day."
Acanthocereus,,,A genus of plants.
AcanthocheilonemaViteae,,,"Acanthocheilonema viteae is a parasitic nematode. Acanthocheilonema viteae, previously Dipetalonema viteae, is a rodent filarial worm that is often used as a model to study human filarial infections. Filarial nematodes are the causative agents of filariases, tropical diseases that afflict about 160 million people worldwide. Currently, there are neither safe and efficient drugs nor vaccines available to eliminate or prevent these infections, which makes the development of new control strategies a priority (Tachu et al., 2008). Research."
Acanthomintha,,,"Acanthomintha is a genus of the Lamiaceae, or mint family. The Acanthomintha genus is commonly referred to as thornmint or thorn-mint. There are four species within this genus, including the endangered species Acanthomintha duttonii. All four thornmints are native to the California Floristic Province. The origin of the genus name is from the identical Greek word meaning thornmint."
AcanthominthaDuttonii,,,"Acanthomintha duttonii is a species of annual plant endemic to San Mateo County, California in the Lamiaceae family. It is commonly called San Mateo Thornmint or Dutton's acanthomintha and is found growing on Serpentine soils near the Crystal Springs Reservoir in a six-mile (10 km) long strip on the east side of Montara Mountain at elevations of approximately 150 to 300 meters."
Acanthopelminae,,,"Acanthopelma is a genus of spiders in the family Theraphosidae (tarantulas). It is the only genus in the Acanthopelminae subfamily. The genus has two species, Acanthopelma beccarii in Guyana and Acanthopelma rufescens in Central America."
Acanthophoenix,,,A genus of plants.
Acanthopteroctetidae,,,"Acanthoctesia or \""archaic sun moths\"" is an infraorder of insects in the Lepidopteran order, containing a single superfamily Acanthopteroctetoidea and a single family Acanthopteroctetidae. They are currently considered the fifth group up on the comb of branching events in the extant lepidopteran phylogeny (Kristensen and Skalski, 1999: 10). They also represent the most basal lineage in the lepidopteran group Coelolepida (Wiegmann et al., 2002) (along with Lophocoronoidea and the massive group \""Myoglossata\"") characterised in part by its scale morphology (Kristensen, 1999: 53-54). Moths in this superfamily are usually small (but one is 15 mm. in wingspan) and iridescent. Like other \""homoneurous\"" Coelolepida and non-ditrysian Heteroneura, the ocelli are lost. There are variety of unique struct."
Acanthostachys,,,"Acanthostachys is a genus of the botanical family Bromeliaceae, subfamily Bromelioideae. The genus name is from the Greek “acanthos” (thorny, spiny) and “stachys” (a flower spike)."
Acarina,,,"Acari (or Acarina) are a taxon of arachnids that contains mites and ticks. The diversity of the Acari is extraordinary and its fossil history goes back to at least the early Devonian period. As a result, acarologists (the people who study mites and ticks) have proposed a complex set of taxonomic ranks to classify mites. In most modern treatments, the Acari is considered a subclass of Arachnida and is composed of two or three superorders or orders: Acariformes (or Actinotrichida), Parasitiformes (or Anactinotrichida), and Opilioacariformes; the latter is often considered a subgroup within the Parasitiformes. The monophyly of the Acari is open to debate, and the relationships of the acarines to other arachnids is not at all clear. In older treatments, the subgroups of the Acarina were placed."
Acartophthalmidae,,,"The Acartophthalmidae are a family of very small (1.0-2.5 mm), dark flies with pubescent arista, placed in the order Diptera. All are Holarctic in distribution."
Acceleration,acceleration,acceleration,
Accelerometer,,,"An accelerometer is a device that measures proper acceleration (""g-force""). Proper acceleration is not the same as coordinate acceleration (rate of change of velocity). For example, an accelerometer at rest on the surface of the Earth will measure an acceleration g= 9.81 m/s2 straight upwards. By contrast, accelerometers in free fall orbiting and accelerating due to the gravity of Earth will measure zero.Accelerometers have multiple applications in industry and science."
Accepted,,,"Accepted is a 2006 American comedy film directed by Steve Pink and written by Adam Cooper, Bill Collage, and Mark Perez. The plot follows a group of high school graduates who create their own fake college after being rejected from the colleges to which they applied. The story takes place in Wickliffe and a fictitious college town called Harmon in Ohio. Filming took place in Los Angeles and Orange in California at Chapman University. This film was later remade in Bollywood as F.A.L.T.U starring Jackky Bhagnani."
AccessoryHemiAzygosVein,,,The accessory hemiazygos vein is a vein on the left side of the vertebral column that generally drains the fifth through eighth intercostal spaces on the left side of the body.
Accipitrinae,,,A subfamily of birds.
Accreditation,accreditation,accreditation,
AccreditationEvent,accreditation (event),accreditation,"Educational accreditation is a type of quality assurance process under which services and operations of educational institutions or programs are evaluated by an external body to determine if applicable standards are met. If standards are met, accredited status is granted by the appropriate agency."
AccumulatingSteadily,accumulating,building,
Acebrochol,,,"Acebrochol (INN), also known as cholesteryl acetate dibromide or 5α,6β-dibromocholestan-3β-ol acetate, is a neuroactive steroid which was described as a sedative and hypnotic but was never marketed."
AceramarcaGracileOpossum,,,"The Aceramarca gracile opossum or Bolivian gracile opossum (Gracilinanus aceramarcae) is a species of opossum. It is native to Bolivia and Peru, where it occurs in tropical elfin forest habitat. This opossum is mostly arboreal, but it may forage on the ground for food. This species has been recorded at only six locations, but it is not considered to be threatened because its habitat is relatively secure from deforestation and other threats at this time."
Acetamide,,,A chemical compound.
Acetaminophen,,,"Paracetamol, also known as acetaminophen and APAP, is a medicine used to treat pain and fever. It is typically used for mild to moderate pain relief."
